"","Day_of_Week","Director","Genre","Movie_Title","Release_Date","Studio","Adjusted_Gross","Budget","Gross_rev","IMDb_Rating","MovieLens_Rating","Overseas_rev","Overseas_Perc","Profit","Profit_perc","Runtime_min","US_rev","US_perc","adjusted_Gross2","Adjusted_Gross2","MovieLens_Rating2","Profit_log","Profit_perc_log"
"335","Friday","George Miller, Warren Coleman, Judy Morris","animation","Happy Feet","17/11/2006","WB",453.3,85,384.3,6.5,3.13,186.3,48.5,299.3,352.1,108,198,51.5,453.3,2.65638571905869,6.26,2.47610671684019,2.54666602507018
"336","Friday","Michael Apted","adventure","The Chronicles of Narnia: The Voyage of the Dawn Treader","10/12/2010","Fox",453.3,155,415.7,6.4,3.36,311.3,74.9,260.7,168.2,113,104.4,25.1,453.3,2.65638571905869,6.72,2.41614103116833,2.22582599146189
"337","Friday","Wolfgang Petersen","action","The Perfect Storm","30/06/2000","WB",453.9,120,328.7,6.4,3.08,146.1,44.4,208.7,173.9,130,182.6,55.6,453.9,2.65696018274285,6.16,2.31952244906545,2.24029958200271
"338","Wednesday","Christopher Nolan","action","Batman Begins","15/06/2005","WB",455.6,150,374.2,8.3,3.97,167.4,44.7,224.2,149.5,140,206.9,55.3,455.6,2.65858371540706,7.94,2.35063560825895,2.17464119266045
"339","Friday","Steven Soderbergh","thriller","Ocean's Twelve","10/12/2004","WB",456.6,85,362.7,6.4,3.25,237.2,65.4,277.7,326.7,125,125.5,34.6,456.6,2.65953590715422,6.5,2.44357587975026,2.51414913447544
"340","Tuesday","Tom Hooper","drama","Les Miserables (2012)","25/12/2012","Universal",457.6,61,441.8,6,2.92,293,66.3,380.8,624.3,158,148.8,33.7,457.6,2.66048601578497,5.84,2.58069693971244,2.79539333493129
"341","Friday","Shawn Levy","comedy","Night at the Museum: Battle of the Smithsonian","22/05/2009","Fox",457.9,150,413.1,5.9,3.01,235.9,57.1,263.1,175.4,104,177.2,42.9,457.9,2.6607706435277,6.02,2.4201208480857,2.24402958903002
"342","Friday","Michael Patrick King","comedy","Sex and the City","30/05/2008","WB/New Line",458.7,57.5,415.3,6.9,2.93,262.6,63.2,357.8,622.3,145,152.6,36.8,458.7,2.66152874013198,5.86,2.55364033623135,2.79399980098447
"343","Friday","Gavin Hood","action","The Wolverine","1/5/2009","Fox",459.8,150,414.8,6.7,3.24,282.3,68,264.8,176.5,107,132.6,32,459.8,2.66256896693326,6.48,2.42291798076766,2.24674470972384
"344","Friday","Luc Besson","action","Lucy","25/07/2014","Universal",461,40,458.9,6.4,3.05,332.2,72.4,418.9,1047.3,89,126.7,27.6,461,2.66370092538965,6.1,2.62211036036122,3.02007110353384
"345","Wednesday","Bryan Singer","action","Superman Returns","28/06/2006","WB",461.3,232,391.1,6.1,3.12,191,48.8,159.1,68.6,154,200.1,51.2,461.3,2.66398345460827,6.24,2.20167017964658,1.83632411570675
"346","Friday","Bibo Bergeron, Rob Letterman, Vicky Jenson","animation","Shark Tale","1/10/2004","DreamWorks",462.4,75,367.3,6,2.91,206.4,56.2,292.3,389.7,90,160.9,43.8,462.4,2.66501782541247,5.82,2.46582881535744,2.59073040579269
